subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv
raw,gpt2,head_dist,-3,pca99,5,659.6199951171875,659.0,660.0,10487,last,en_ewt-ud-train_sentences.csv
raw,gpt2,head_dist,-3,pca99,6,666.1400146484375,666.0,667.0,10487,last,en_ewt-ud-train_sentences.csv
raw,gpt2,head_dist,-3,pca99,7,672.0999755859375,672.0,673.0,10487,last,en_ewt-ud-train_sentences.csv
raw,gpt2,head_dist,-3,pca99,8,680.0399780273438,679.0,681.0,10487,last,en_ewt-ud-train_sentences.csv
raw,gpt2,head_dist,-3,pca99,9,685.9400024414062,685.0,686.0,10487,last,en_ewt-ud-train_sentences.csv
raw,gpt2,head_dist,-3,pca99,10,688.5,688.0,689.0,10487,last,en_ewt-ud-train_sentences.csv
raw,gpt2,head_dist,-3,pca99,11,686.239990234375,686.0,687.0,10487,last,en_ewt-ud-train_sentences.csv
raw,gpt2,head_dist,-3,pca99,12,209.5800018310547,198.4499969482422,217.0,10487,last,en_ewt-ud-train_sentences.csv
raw,gpt2,head_dist,-2,pca99,0,672.719970703125,672.0,673.0,15690,last,en_ewt-ud-train_sentences.csv
raw,gpt2,head_dist,-2,pca99,1,591.5399780273438,591.0,592.0,15690,last,en_ewt-ud-train_sentences.csv
raw,gpt2,head_dist,-2,pca99,2,606.8200073242188,606.0,607.7750244140625,15690,last,en_ewt-ud-train_sentences.csv
raw,gpt2,head_dist,-2,pca99,3,638.280029296875,638.0,639.0,15690,last,en_ewt-ud-train_sentences.csv
raw,gpt2,head_dist,-2,pca99,4,656.2999877929688,656.0,657.0,15690,last,en_ewt-ud-train_sentences.csv
raw,gpt2,head_dist,-2,pca99,5,662.0800170898438,662.0,663.0,15690,last,en_ewt-ud-train_sentences.csv
raw,gpt2,head_dist,-2,pca99,6,669.4400024414062,669.0,670.0,15690,last,en_ewt-ud-train_sentences.csv
raw,gpt2,head_dist,-2,pca99,7,676.5599975585938,676.0,677.0,15690,last,en_ewt-ud-train_sentences.csv
raw,gpt2,head_dist,-2,pca99,8,685.0999755859375,685.0,686.0,15690,last,en_ewt-ud-train_sentences.csv
raw,gpt2,head_dist,-2,pca99,9,691.0399780273438,691.0,691.7750244140625,15690,last,en_ewt-ud-train_sentences.csv
raw,gpt2,head_dist,-2,pca99,10,694.1799926757812,694.0,695.0,15690,last,en_ewt-ud-train_sentences.csv
raw,gpt2,head_dist,-2,pca99,11,693.0599975585938,693.0,694.0,15690,last,en_ewt-ud-train_sentences.csv
raw,gpt2,head_dist,-2,pca99,12,227.16000366210938,218.22500610351562,234.0,15690,last,en_ewt-ud-train_sentences.csv
raw,gpt2,head_dist,-1,pca99,0,592.2999877929688,589.2249755859375,596.0,13038,last,en_ewt-ud-train_sentences.csv
raw,gpt2,head_dist,-1,pca99,1,546.0,544.2249755859375,548.0,13038,last,en_ewt-ud-train_sentences.csv
raw,gpt2,head_dist,-1,pca99,2,568.239990234375,567.0,570.0,13038,last,en_ewt-ud-train_sentences.csv
raw,gpt2,head_dist,-1,pca99,3,614.280029296875,613.0,615.0,13038,last,en_ewt-ud-train_sentences.csv
raw,gpt2,head_dist,-1,pca99,4,644.280029296875,644.0,645.0,13038,last,en_ewt-ud-train_sentences.csv
