model,word_rep_mode,feature,metric_family,metric,class,mean_score,n_tokens,n_types,family_label,metric_label,model_label,row_label
bert-base-uncased,first,pos,isotropy,iso,DET,0.014045596624223,16123,36,IsoScore,IsoScore,BERT,BERT IsoScore
bert-base-uncased,first,pos,isotropy,iso,NOUN,0.056103288840789,33607,6903,IsoScore,IsoScore,BERT,BERT IsoScore
bert-base-uncased,first,pos,isotropy,iso,NUM,0.0169457888517241,3675,728,IsoScore,IsoScore,BERT,BERT IsoScore
bert-base-uncased,first,pos,isotropy,iso,PRON,0.0132150744231274,18255,138,IsoScore,IsoScore,BERT,BERT IsoScore
bert-base-uncased,first,pos,isotropy,iso,PROPN,0.0342302120362336,11203,3808,IsoScore,IsoScore,BERT,BERT IsoScore
bert-base-uncased,first,pos,isotropy,iso,PUNCT,0.0074446177145895,22123,94,IsoScore,IsoScore,BERT,BERT IsoScore
bert-base-uncased,first,pos,isotropy,iso,SCONJ,0.0110376597238847,3815,62,IsoScore,IsoScore,BERT,BERT IsoScore
bert-base-uncased,first,pos,isotropy,iso,VERB,0.039556655459679,22095,3538,IsoScore,IsoScore,BERT,BERT IsoScore
bert-base-uncased,first,relation_type,isotropy,iso,advmod,0.0266350063566977,10307,704,IsoScore,IsoScore,BERT,BERT IsoScore
bert-base-uncased,first,relation_type,isotropy,iso,amod,0.0348481849695627,9312,1960,IsoScore,IsoScore,BERT,BERT IsoScore
bert-base-uncased,first,relation_type,isotropy,iso,case,0.0250202162334551,16577,128,IsoScore,IsoScore,BERT,BERT IsoScore
bert-base-uncased,first,relation_type,isotropy,iso,conj,0.0430365858169701,7557,3810,IsoScore,IsoScore,BERT,BERT IsoScore
bert-base-uncased,first,relation_type,isotropy,iso,det,0.0133060401377196,15562,31,IsoScore,IsoScore,BERT,BERT IsoScore
bert-base-uncased,first,relation_type,isotropy,iso,nsubj,0.0148484903172804,15648,2562,IsoScore,IsoScore,BERT,BERT IsoScore
bert-base-uncased,first,relation_type,isotropy,iso,obj,0.0336209330707788,9685,2978,IsoScore,IsoScore,BERT,BERT IsoScore
bert-base-uncased,first,relation_type,isotropy,iso,obl,0.0506163485921345,8743,3228,IsoScore,IsoScore,BERT,BERT IsoScore
bert-base-uncased,first,relation_type,isotropy,iso,punct,0.0074446177145895,22123,94,IsoScore,IsoScore,BERT,BERT IsoScore
bert-base-uncased,first,relation_type,isotropy,iso,root,0.0385287402627559,10046,3032,IsoScore,IsoScore,BERT,BERT IsoScore
bert-base-uncased,first,head_dist,linear_id,lpca99,-1,657.8269277719351,13038,2647,LID,LID (lPCA99),BERT,BERT LID (lPCA99)
bert-base-uncased,first,head_dist,linear_id,lpca99,-2,684.265380859375,15690,5483,LID,LID (lPCA99),BERT,BERT LID (lPCA99)
bert-base-uncased,first,head_dist,linear_id,lpca99,-3,681.9153817983774,10487,4117,LID,LID (lPCA99),BERT,BERT LID (lPCA99)
bert-base-uncased,first,head_dist,linear_id,lpca99,-4,676.0115356445312,6684,3050,LID,LID (lPCA99),BERT,BERT LID (lPCA99)
bert-base-uncased,first,head_dist,linear_id,lpca99,-5,663.3153921274038,4545,2268,LID,LID (lPCA99),BERT,BERT LID (lPCA99)
bert-base-uncased,first,head_dist,linear_id,lpca99,-6,662.9076913686899,19585,4572,LID,LID (lPCA99),BERT,BERT LID (lPCA99)
bert-base-uncased,first,head_dist,linear_id,lpca99,1,667.1769221379207,57036,5218,LID,LID (lPCA99),BERT,BERT LID (lPCA99)
bert-base-uncased,first,head_dist,linear_id,lpca99,2,648.4807621882512,28588,2747,LID,LID (lPCA99),BERT,BERT LID (lPCA99)
bert-base-uncased,first,head_dist,linear_id,lpca99,3,645.3615440955529,13592,1840,LID,LID (lPCA99),BERT,BERT LID (lPCA99)
bert-base-uncased,first,head_dist,linear_id,lpca99,4,634.0230759840745,6439,1171,LID,LID (lPCA99),BERT,BERT LID (lPCA99)
bert-base-uncased,first,head_dist,linear_id,lpca99,5,595.2076955942007,3249,795,LID,LID (lPCA99),BERT,BERT LID (lPCA99)
bert-base-uncased,first,head_dist,linear_id,lpca99,6,654.6846172626202,5937,1779,LID,LID (lPCA99),BERT,BERT LID (lPCA99)
