sample,variable,before_mean,after_mean,before_sd,after_sd,standardized_mean_difference
raw,token_frequency,40.30477368800907,43.092698896762045,109.88406266223502,114.0616160973294,-0.02489389636599956
raw,log_token_frequency,2.84102863917535,2.8479727008074054,1.292467634250774,1.3495203545256427,-0.005255469081708411
raw,token_length,6.14032374471595,6.29195443537537,2.3508075378386293,2.4423512146675503,-0.06325809399254223
raw,sentence_position,12.128157542014641,16.458920082518613,11.316067433464726,11.486612792102392,-0.37983617498883904
raw,abs_head_dist,2.3298278173007527,3.457484976231052,1.7375156673281111,1.543587106159478,-0.686167257513057
matched,token_frequency,62.53932584269663,60.59856996935649,93.3287898906277,124.93001410113904,0.017600460091434966
matched,log_token_frequency,3.25534816965604,3.243826114083903,1.4229804470743737,1.390698970609211,0.00818948828770745
matched,token_length,5.741573033707865,5.720122574055158,1.9973443456500675,2.0383123821861378,0.010629920191155435
matched,sentence_position,10.25638406537283,10.65270684371808,8.45248040213389,7.960788382029777,-0.0482713186503347
matched,abs_head_dist,3.159346271705822,3.2512768130745657,1.64644438785663,1.4429101416494738,-0.05938565840041706
