metric,scope,layer,before_minus_after,ci_low,ci_high,n_layers,n_positive_layers,support
gride,last_layer,12.0,-1.0797834396362305,-1.387606490295728,-0.771960388976733,1,0,after_greater
gride,layer_mean,,-1.6778589395376353,-2.417562035661045,-0.9381558434142258,13,0,after_greater
iso,last_layer,12.0,-0.00032392708817496896,-0.0004701321670841838,-0.00017772200926575413,1,0,after_greater
iso,layer_mean,,-0.012148586464508507,-0.014419065122064314,-0.009878107806952701,13,0,after_greater
lpca99,last_layer,12.0,-34.540000915527344,-49.30171508247962,-19.77828674857507,1,0,after_greater
lpca99,layer_mean,,-3.018770071176382,-6.510968118011439,0.4734279756586748,13,6,inconclusive
