metric,layer,before_head_mean,after_head_mean,before_minus_after,ci_low,ci_high,se,support
gride,0,16.789831161499023,18.832311630249023,-2.04248046875,-5.888228797973689,1.8032678604736887,1.962116494501882,inconclusive
gride,1,13.541404724121094,16.442455291748047,-2.901050567626953,-7.509594283170305,1.7074931479163986,2.3512978140527303,inconclusive
gride,2,12.67921257019043,15.273344039916992,-2.5941314697265625,-7.056714284123439,1.868451344670314,2.2768279665290185,inconclusive
gride,3,14.705961227416992,15.348164558410645,-0.6422033309936523,-3.6247923674376072,2.3403857054503026,1.5217291002265076,inconclusive
gride,4,16.252328872680664,16.397014617919922,-0.1446857452392578,-2.449494719193197,2.1601232287146814,1.175922945894867,inconclusive
gride,5,16.74066925048828,17.034950256347656,-0.294281005859375,-2.4882385261881708,1.8996765144694208,1.119366081800406,inconclusive
gride,6,16.928396224975586,17.571096420288086,-0.6427001953125,-2.6498428947608996,1.3644425041358996,1.024052397677755,inconclusive
gride,7,16.533832550048828,17.221240997314453,-0.687408447265625,-2.301560507997112,0.926743613465862,0.8235469697609628,inconclusive
gride,8,16.018577575683594,17.3275203704834,-1.3089427947998047,-2.8218031777882797,0.20391758818867034,0.7718675423410587,inconclusive
gride,9,15.782218933105469,17.977094650268555,-2.194875717163086,-3.803293595816476,-0.5864578385096955,0.8206213666598932,after_greater
gride,10,15.565553665161133,18.643741607666016,-3.078187942504883,-4.7155475778589535,-1.4408283071508123,0.8353875690581992,after_greater
gride,11,15.067848205566406,19.269283294677734,-4.201435089111328,-5.995886609566177,-2.4069835686564796,0.9155364900279841,after_greater
gride,12,5.281025409698486,6.360808849334717,-1.0797834396362305,-1.387606490295728,-0.771960388976733,0.1570525768670905,after_greater
iso,0,0.03621666133403778,0.05170269310474396,-0.015486031770706177,-0.0195047861028421,-0.011467277438570253,0.002050384863334655,after_greater
iso,1,0.0828271210193634,0.09214606136083603,-0.009318940341472626,-0.017079336490013294,-0.001558544192931958,0.0039593857900717695,after_greater
iso,2,0.0886119082570076,0.09607015550136566,-0.007458247244358063,-0.016506999306298967,0.001590504817582843,0.004616710235684136,inconclusive
iso,3,0.08834768086671829,0.09625042974948883,-0.007902748882770538,-0.017157114797707644,0.0013516170321665657,0.004721615262723012,inconclusive
iso,4,0.09147243201732635,0.09990694373846054,-0.008434511721134186,-0.01801389936590085,0.0011448759236324813,0.004887442675901361,inconclusive
iso,5,0.09192060679197311,0.09982401132583618,-0.007903404533863068,-0.017673401120098593,0.0018665920523724573,0.004984692135834452,inconclusive
iso,6,0.09146236628293991,0.10301923751831055,-0.011556871235370636,-0.020224042729767324,-0.002889699740973948,0.004422026272651372,after_greater
iso,7,0.0887003019452095,0.10065178573131561,-0.01195148378610611,-0.02084116833869245,-0.0030617992335197717,0.0045355533431562945,after_greater
iso,8,0.08138105273246765,0.09778747707605362,-0.016406424343585968,-0.025434320091019067,-0.007378528596152869,0.004606069258894438,after_greater
iso,9,0.07610464096069336,0.09978634864091873,-0.023681707680225372,-0.033185429006738335,-0.014177986353712414,0.0048488374114862036,after_greater
iso,10,0.08187027275562286,0.0995756983757019,-0.01770542562007904,-0.026346500990030962,-0.009064350250127121,0.004408711923444857,after_greater
iso,11,0.06700530648231506,0.08680720627307892,-0.019801899790763855,-0.026081471601933408,-0.013522327979594304,0.0032038631689640567,after_greater
iso,12,0.0006440121796913445,0.0009679392678663135,-0.00032392708817496896,-0.0004701321670841838,-0.00017772200926575413,7.459442801490553e-05,after_greater
lpca99,0,326.0400085449219,331.7799987792969,-5.739990234375,-21.694653580911456,10.214673112161456,8.140134360477784,inconclusive
lpca99,1,327.0400085449219,327.20001220703125,-0.160003662109375,-12.490423992264772,12.170416668046022,6.291030780691529,inconclusive
lpca99,2,336.760009765625,335.79998779296875,0.96002197265625,-10.838839243235215,12.758883188547715,6.019827150965034,inconclusive
lpca99,3,363.239990234375,362.5400085449219,0.699981689453125,-11.330782115282666,12.730745494188916,6.138144798334587,inconclusive
lpca99,4,385.0400085449219,383.3599853515625,1.680023193359375,-10.140044479307065,13.500090866025815,6.030646771768592,inconclusive
lpca99,5,394.6199951171875,393.8599853515625,0.760009765625,-11.357698965763735,12.877718497013735,6.182504454790171,inconclusive
lpca99,6,399.6400146484375,399.4599914550781,0.180023193359375,-11.677490160633107,12.037536547351857,6.0497517112206545,inconclusive
lpca99,7,403.82000732421875,402.82000732421875,1.0,-10.643672580431298,12.643672580431298,5.940649275730254,inconclusive
lpca99,8,406.0400085449219,406.5400085449219,-0.5,-12.675307794398968,11.675307794398968,6.211891731836208,inconclusive
lpca99,9,410.239990234375,411.5,-1.260009765625,-13.275628724016464,10.755609192766464,6.130417835914012,inconclusive
lpca99,10,411.8999938964844,413.2040710449219,-1.3040771484375,-13.723819496811721,11.115665199936721,6.33660323896644,inconclusive
lpca99,11,408.20001220703125,409.2200012207031,-1.019989013671875,-12.977731359324512,10.937753331980762,6.10088895186359,inconclusive
lpca99,12,88.36000061035156,122.9000015258789,-34.540000915527344,-49.30171508247962,-19.77828674857507,7.531486819873609,after_greater
