model,metric,class_group,layer,mean,ci_low,ci_high,se,n_tokens,pos_members,n_pos_members,ci_method,aggregation
gpt2,iso,Open classes,0,0.02624367410623672,0.025151697920813045,0.027335650291660393,0.0005571307068488132,86415,"ADJ,ADV,INTJ,NOUN,PROPN,VERB",6,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
gpt2,iso,Open classes,1,0.019759501682207782,0.016062388877691163,0.0234566144867244,0.0018862820431207244,86415,"ADJ,ADV,INTJ,NOUN,PROPN,VERB",6,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
gpt2,iso,Open classes,2,0.000546935666661829,0.0004496390515792411,0.0006442322817444169,4.9641130144177486e-05,86415,"ADJ,ADV,INTJ,NOUN,PROPN,VERB",6,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
gpt2,iso,Open classes,3,3.771874156357115e-05,3.204436188210666e-05,4.339312124503564e-05,2.895091674216576e-06,86415,"ADJ,ADV,INTJ,NOUN,PROPN,VERB",6,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
gpt2,iso,Open classes,4,4.2499650836251836e-05,3.606336599916908e-05,4.8935935673334594e-05,3.283818794429977e-06,86415,"ADJ,ADV,INTJ,NOUN,PROPN,VERB",6,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
gpt2,iso,Open classes,5,4.6939581580534395e-05,3.9840445212528104e-05,5.4038717948540686e-05,3.622008351023617e-06,86415,"ADJ,ADV,INTJ,NOUN,PROPN,VERB",6,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
gpt2,iso,Open classes,6,5.388094248688923e-05,4.574492438951236e-05,6.201696058426611e-05,4.151029641518814e-06,86415,"ADJ,ADV,INTJ,NOUN,PROPN,VERB",6,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
gpt2,iso,Open classes,7,6.487699880897367e-05,5.5117074285591385e-05,7.463692333235596e-05,4.979553328256269e-06,86415,"ADJ,ADV,INTJ,NOUN,PROPN,VERB",6,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
gpt2,iso,Open classes,8,8.29869981658172e-05,7.04758625568247e-05,9.549813377480968e-05,6.3832324535675985e-06,86415,"ADJ,ADV,INTJ,NOUN,PROPN,VERB",6,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
gpt2,iso,Open classes,9,0.00010935900678681857,9.299952818994444e-05,0.0001257184853836927,8.346672753507207e-06,86415,"ADJ,ADV,INTJ,NOUN,PROPN,VERB",6,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
gpt2,iso,Open classes,10,0.00015186186305614694,0.0001291807813949857,0.00017454294471730818,1.1571980439367981e-05,86415,"ADJ,ADV,INTJ,NOUN,PROPN,VERB",6,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
gpt2,iso,Open classes,11,0.00023424407342151446,0.0001985799414754346,0.0002699082053675943,1.8195985686775434e-05,86415,"ADJ,ADV,INTJ,NOUN,PROPN,VERB",6,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
gpt2,iso,Open classes,12,0.0008359545828879515,0.0007933161571871231,0.00087859300858878,2.175429882695326e-05,86415,"ADJ,ADV,INTJ,NOUN,PROPN,VERB",6,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
gpt2,iso,Closed classes,0,0.003954456288974134,0.0037751411373154117,0.004133771440632856,9.148732227485818e-05,81819,"ADP,AUX,CCONJ,DET,NUM,PART,PRON,SCONJ",8,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
gpt2,iso,Closed classes,1,0.0018232895120557577,0.0016482769477986184,0.001998302076312897,8.929212462098946e-05,81819,"ADP,AUX,CCONJ,DET,NUM,PART,PRON,SCONJ",8,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
gpt2,iso,Closed classes,2,8.337881701207404e-05,7.640627126232322e-05,9.035136276182487e-05,3.5574213008932795e-06,81819,"ADP,AUX,CCONJ,DET,NUM,PART,PRON,SCONJ",8,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
gpt2,iso,Closed classes,3,6.999010530040275e-06,6.446177551619266e-06,7.551843508461283e-06,2.8205764205153475e-07,81819,"ADP,AUX,CCONJ,DET,NUM,PART,PRON,SCONJ",8,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
gpt2,iso,Closed classes,4,9.118887030677239e-06,8.406517392593064e-06,9.831256668761414e-06,3.6345389698172155e-07,81819,"ADP,AUX,CCONJ,DET,NUM,PART,PRON,SCONJ",8,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
gpt2,iso,Closed classes,5,1.1394789212862916e-05,1.0508636114280924e-05,1.2280942311444909e-05,4.521189278479554e-07,81819,"ADP,AUX,CCONJ,DET,NUM,PART,PRON,SCONJ",8,normal_approx_from_pos_level_ci,token_weighted_mean_of_pos_curves
