metric,layer,before_head_mean,after_head_mean,before_minus_after,ci_low,ci_high,se,support
gride,0,14.374074935913086,21.594255447387695,-7.220180511474609,-16.876002391250992,2.4356413683017717,4.926439734579787,inconclusive
gride,1,15.104321479797363,20.56209945678711,-5.457777976989746,-13.993979936860967,3.078423982881475,4.355205081566949,inconclusive
gride,2,16.198633193969727,19.37709617614746,-3.1784629821777344,-9.752922076556658,3.395996112201188,3.3543158644790423,inconclusive
gride,3,16.692096710205078,18.952930450439453,-2.260833740234375,-7.043452115502302,2.521784635033552,2.440111415953024,inconclusive
gride,4,17.27691078186035,18.445680618286133,-1.1687698364257812,-4.381875856109799,2.044336183258236,1.6393398059612334,inconclusive
gride,5,17.93939208984375,18.426834106445312,-0.4874420166015625,-3.103721326585726,2.128837293382601,1.3348363826449816,inconclusive
gride,6,18.79819679260254,18.907651901245117,-0.10945510864257812,-2.476997173299589,2.2580869560144325,1.2079296248250055,inconclusive
gride,7,19.108280181884766,19.13423728942871,-0.025957107543945312,-2.217507569094119,2.165593354006228,1.1181379905868232,inconclusive
gride,8,18.988697052001953,19.521644592285156,-0.5329475402832031,-2.4487903439213508,1.3828952633549447,0.9774708181827285,inconclusive
gride,9,20.078716278076172,20.49930191040039,-0.42058563232421875,-2.4135982648539,1.5724270002054626,1.0168431798620823,inconclusive
gride,10,21.231979370117188,21.545291900634766,-0.3133125305175781,-2.231011294048191,1.604386233013035,0.9784177364952108,inconclusive
gride,11,22.129074096679688,22.531099319458008,-0.4020252227783203,-2.4282521607122396,1.624201715155599,1.033789254047918,inconclusive
gride,12,24.16229820251465,23.736743927001953,0.4255542755126953,-1.5245395138514157,2.375648064876806,0.9949458109000566,inconclusive
iso,0,0.13481883704662323,0.13398630917072296,0.0008325278759002686,-0.016825565224146466,0.018490620975947003,0.009009231173493231,inconclusive
iso,1,0.13148677349090576,0.13302695751190186,-0.0015401840209960938,-0.019397173947857713,0.016316805905865525,0.009110709146357969,inconclusive
iso,2,0.13229511678218842,0.1317078024148941,0.0005873143672943115,-0.016708736823199156,0.01788336555778778,0.008824515913517076,inconclusive
iso,3,0.1212085634469986,0.13190527260303497,-0.010696709156036377,-0.02634272858695828,0.004949310274885526,0.007982662974960154,inconclusive
iso,4,0.1207345500588417,0.13007856905460358,-0.009344018995761871,-0.02309147109833757,0.004403433106813827,0.00701400617478352,inconclusive
iso,5,0.12372710555791855,0.1313161700963974,-0.007589064538478851,-0.020396516900761677,0.005218387823803976,0.006534414470552463,inconclusive
iso,6,0.12085767835378647,0.1298237442970276,-0.00896606594324112,-0.02115609469315232,0.00322396280667008,0.006219402423424081,inconclusive
iso,7,0.12223562598228455,0.13373932242393494,-0.01150369644165039,-0.023251977164806335,0.0002445842815055523,0.005994020777120379,inconclusive
iso,8,0.11842019110918045,0.12692788243293762,-0.008507691323757172,-0.02037191594583844,0.0033565332983240947,0.006053175827592483,inconclusive
iso,9,0.12643353641033173,0.13657592236995697,-0.010142385959625244,-0.02121702680166895,0.0009322548824184616,0.005650326960226381,inconclusive
iso,10,0.1324378252029419,0.13954973220825195,-0.007111907005310059,-0.016050173578567348,0.0018263595679472323,0.004560340088396577,inconclusive
iso,11,0.1341438591480255,0.1410445123910904,-0.00690065324306488,-0.015274184299409868,0.0014728778132801074,0.004272209722624994,inconclusive
iso,12,0.12836001813411713,0.1434953510761261,-0.015135332942008972,-0.0230331133445865,-0.007237552539431447,0.004029479797233431,after_greater
lpca99,0,341.9200134277344,340.8599853515625,1.060028076171875,-15.242608785023439,17.36266493736719,8.317671867956793,inconclusive
lpca99,1,381.70001220703125,380.28570556640625,1.414306640625,-13.272079287867902,16.100692569117903,7.49305404514944,inconclusive
lpca99,2,397.4599914550781,395.4800109863281,1.97998046875,-12.060721617642562,16.020682555142564,7.163623513465593,inconclusive
lpca99,3,403.6400146484375,402.94000244140625,0.70001220703125,-13.165906179549962,14.565930593612462,7.074448156418986,inconclusive
lpca99,4,410.8599853515625,411.3265380859375,-0.466552734375,-13.551461885322958,12.618356416572958,6.675974056606101,inconclusive
lpca99,5,416.3999938964844,415.1600036621094,1.239990234375,-11.981744122916933,14.461724591666933,6.745782835353027,inconclusive
lpca99,6,421.3599853515625,420.239990234375,1.1199951171875,-12.233397769184313,14.473388003559313,6.812955554271333,inconclusive
lpca99,7,424.6199951171875,423.7799987792969,0.839996337890625,-13.289403843772284,14.969396519553534,7.208877643705566,inconclusive
lpca99,8,427.5,425.239990234375,2.260009765625,-11.72538498213609,16.24540451338609,7.135405483551577,inconclusive
lpca99,9,431.9200134277344,430.5400085449219,1.3800048828125,-12.059275127953057,14.819284893578057,6.856775515696713,inconclusive
lpca99,10,435.55999755859375,433.3399963378906,2.220001220703125,-11.060646987746432,15.500649429152682,6.775840922678346,inconclusive
lpca99,11,436.6600036621094,434.7200012207031,1.94000244140625,-11.678162112702763,15.558166995515263,6.948043139851538,inconclusive
lpca99,12,437.4200134277344,434.94000244140625,2.480010986328125,-11.296877199563726,16.256899172219974,7.0290245846387,inconclusive
