metric,scope,layer,before_minus_after,ci_low,ci_high,n_layers,n_positive_layers,support
gride,last_layer,12.0,0.4255542755126953,-1.5245395138514157,2.375648064876806,1,1,inconclusive
gride,layer_mean,,-1.6270919946523814,-2.911970573163795,-0.34221341614096823,13,1,after_greater
iso,last_layer,12.0,-0.015135332942008972,-0.0230331133445865,-0.007237552539431447,1,0,after_greater
iso,layer_mean,,-0.0073859897943643425,-0.011067114599012884,-0.003704864989715802,13,2,after_greater
lpca99,last_layer,12.0,2.480010986328125,-11.296877199563726,16.256899172219974,1,1,inconclusive
lpca99,layer_mean,,1.39752197265625,-2.4660472529593567,5.261091198271856,13,12,inconclusive
