model,word_rep_mode,family,metric,target,n_classes_total,n_features,spearman_r,spearman_p,pearson_r_on_rank_z,pearson_p_on_rank_z
bert-base-uncased,first,IsoScore,iso,n_tokens,60,6,-0.15229909037803555,0.24536583192623077,-0.16567321567321566,0.2058472855264133
bert-base-uncased,first,IsoScore,iso,n_types,60,6,0.5986814654093299,4.3581972127327627e-07,0.5988011988011989,4.32924566564857e-07
bert-base-uncased,first,LID,lpca99,n_tokens,45,4,0.13632168754119972,0.3719007081729877,0.12119362119362127,0.4277525292492079
bert-base-uncased,first,LID,lpca99,n_types,45,4,0.8598549769281476,3.891661040436222e-14,0.8650830650830652,1.814988095563265e-14
bert-base-uncased,first,NLID,gride,n_tokens,60,6,-0.05349244763414838,0.6847975020858617,-0.07056277056277056,0.5921329754051265
bert-base-uncased,first,NLID,gride,n_types,60,6,0.549862304931987,5.348574360406243e-06,0.561011211011211,3.1241668018380424e-06
gpt2,last,IsoScore,iso,n_tokens,60,6,-0.18104815154802634,0.16624738813501824,-0.2015429015429015,0.12254045938065013
gpt2,last,IsoScore,iso,n_types,60,6,0.4818631950819216,9.691431427315917e-05,0.4906732156732157,6.887815456055823e-05
gpt2,last,LID,lpca99,n_tokens,33,3,-0.10344827586206895,0.5667179220638584,-0.12823035550308276,0.4769798662608097
gpt2,last,LID,lpca99,n_types,33,3,0.7452293270840307,6.523811053053603e-07,0.7560671651580742,3.6131639215442485e-07
gpt2,last,NLID,gride,n_tokens,60,6,-0.06005730340204178,0.6485138713789663,-0.08325285825285826,0.5271205621557338
gpt2,last,NLID,gride,n_types,60,6,0.6257754040446187,8.97246036796839e-08,0.6357115107115109,4.83507114217331e-08
