model,word_rep_mode,feature,metric_family,metric,class,mean_score,n_layers,min_layer,max_layer,n_tokens,n_types,log10_n_tokens,log10_n_types,score_rank_z_within_feature,n_tokens_rank_z_within_feature,n_types_rank_z_within_feature,log10_n_tokens_rank_z_within_feature,log10_n_types_rank_z_within_feature
bert-base-uncased,first,arity,isotropy,iso,0,0.0290549229830502,13,0,12,129064,7581,5.11080512079751,3.8797264966395772,-1.414213562373095,1.414213562373095,1.414213562373095,1.414213562373095,1.414213562373095
bert-base-uncased,first,arity,isotropy,iso,1,0.0582889200976261,13,0,12,20239,6441,4.306189050400426,3.808953299155911,1.414213562373095,0.7071067811865475,0.7071067811865475,0.7071067811865475,0.7071067811865475
bert-base-uncased,first,arity,isotropy,iso,2,0.0528995609627319,13,0,12,18037,5846,4.256164305279615,3.7668588110214176,0.7071067811865475,0.0,0.0,0.0,0.0
bert-base-uncased,first,arity,isotropy,iso,3,0.0438812071314224,13,0,12,13546,4621,4.131811071270342,3.664735968518705,-0.7071067811865475,-1.414213562373095,-0.7071067811865475,-1.414213562373095,-0.7071067811865475
bert-base-uncased,first,arity,isotropy,iso,4,0.0447228473539535,13,0,12,14030,4534,4.14705767102836,3.6564815157904986,0.0,-0.7071067811865475,-1.414213562373095,-0.7071067811865475,-1.414213562373095
bert-base-uncased,first,head_dist,isotropy,iso,-1,0.0285302121192216,13,0,12,13038,2647,4.1152109767041685,3.422753941301348,-0.43452409462674085,0.14484136487558028,-0.14484136487558028,0.14484136487558028,-0.14484136487558028
bert-base-uncased,first,head_dist,isotropy,iso,-2,0.0494152015218367,13,0,12,15690,5483,4.195622943586937,3.739018245883481,1.3035722838802226,0.7242068243779014,1.5932550136313832,0.7242068243779014,1.5932550136313832
bert-base-uncased,first,head_dist,isotropy,iso,-3,0.0515345317813065,13,0,12,10487,4117,4.020651268004342,3.614580866997486,1.5932550136313832,-0.14484136487558028,0.7242068243779014,-0.14484136487558028,0.7242068243779014
bert-base-uncased,first,head_dist,isotropy,iso,-4,0.0396534863572853,13,0,12,6684,3050,3.8250364412213536,3.484299839346786,1.013889554129062,-0.43452409462674085,0.43452409462674085,-0.43452409462674085,0.43452409462674085
bert-base-uncased,first,head_dist,isotropy,iso,-5,0.0280487846869688,13,0,12,4545,2268,3.657533887557986,3.355643050220869,-0.7242068243779014,-1.3035722838802226,-0.43452409462674085,-1.3035722838802226,-0.43452409462674085
bert-base-uncased,first,head_dist,isotropy,iso,-6,0.0097928590571077,13,0,12,19585,4572,4.291923575883884,3.660106221723244,-1.5932550136313832,1.013889554129062,1.013889554129062,1.013889554129062,1.013889554129062
bert-base-uncased,first,head_dist,isotropy,iso,1,0.0334598619777422,13,0,12,57036,5218,4.756149060342383,3.717504074764202,0.7242068243779014,1.5932550136313832,1.3035722838802226,1.5932550136313832,1.3035722838802226
bert-base-uncased,first,head_dist,isotropy,iso,2,0.0330696661884967,13,0,12,28588,2747,4.45618377342913,3.438858659420562,0.43452409462674085,1.3035722838802226,0.14484136487558028,1.3035722838802226,0.14484136487558028
bert-base-uncased,first,head_dist,isotropy,iso,3,0.0324506511768469,13,0,12,13592,1840,4.133283365860989,3.2648178230095364,0.14484136487558028,0.43452409462674085,-0.7242068243779014,0.43452409462674085,-0.7242068243779014
bert-base-uncased,first,head_dist,isotropy,iso,4,0.0297516650305343,13,0,12,6439,1171,3.808818425092124,3.068556895072363,-0.14484136487558028,-0.7242068243779014,-1.3035722838802226,-0.7242068243779014,-1.3035722838802226
bert-base-uncased,first,head_dist,isotropy,iso,5,0.0253952897082154,13,0,12,3249,795,3.511749711344983,2.9003671286564705,-1.3035722838802226,-1.5932550136313832,-1.5932550136313832,-1.5932550136313832,-1.5932550136313832
bert-base-uncased,first,head_dist,isotropy,iso,6,0.0257732057227537,13,0,12,5937,1779,3.7735670489260587,3.250175948083925,-1.013889554129062,-1.013889554129062,-1.013889554129062,-1.013889554129062,-1.013889554129062
bert-base-uncased,first,index,isotropy,iso,1,0.0179336035910706,13,0,12,10067,1600,4.002900068611387,3.204119982655925,-1.5666989036012806,1.2185435916898848,-1.5666989036012806,1.2185435916898848,-1.5666989036012806
bert-base-uncased,first,index,isotropy,iso,10,0.0289197423710272,13,0,12,108145,12235,5.034006444971532,4.087603973687808,-1.2185435916898848,1.5666989036012806,1.5666989036012806,1.5666989036012806,1.5666989036012806
bert-base-uncased,first,index,isotropy,iso,2,0.0316561557925664,13,0,12,9647,2309,3.9843922785242656,3.3634239329171765,-0.8703882797784892,-0.5222329678670935,-1.2185435916898848,-0.5222329678670935,-1.2185435916898848
bert-base-uncased,first,index,isotropy,iso,3,0.039310724259569,13,0,12,9800,2483,3.9912260756924947,3.394976719554564,1.2185435916898848,-0.17407765595569785,-0.8703882797784892,-0.17407765595569785,-0.8703882797784892
bert-base-uncased,first,index,isotropy,iso,4,0.0396409228157538,13,0,12,9932,2701,3.9970367108825267,3.431524584187451,1.5666989036012806,0.17407765595569785,-0.17407765595569785,0.17407765595569785,-0.17407765595569785
bert-base-uncased,first,index,isotropy,iso,5,0.0388080423267987,13,0,12,9948,2876,3.9977357765978985,3.458788881710845,0.8703882797784892,0.5222329678670935,0.8703882797784892,0.5222329678670935,0.8703882797784892
bert-base-uncased,first,index,isotropy,iso,6,0.0371117686422971,13,0,12,9972,2891,3.998782269831736,3.4610480916706576,0.5222329678670935,0.8703882797784892,1.2185435916898848,0.8703882797784892,1.2185435916898848
bert-base-uncased,first,index,isotropy,iso,7,0.035767675592349,13,0,12,9559,2820,3.9804124616068917,3.450249108319361,0.17407765595569785,-0.8703882797784892,0.5222329678670935,-0.8703882797784892,0.5222329678670935
bert-base-uncased,first,index,isotropy,iso,8,0.0343704838305711,13,0,12,9142,2709,3.961041216953312,3.4328090050331683,-0.17407765595569785,-1.2185435916898848,0.17407765595569785,-1.2185435916898848,0.17407765595569785
bert-base-uncased,first,index,isotropy,iso,9,0.0334765740598623,13,0,12,8704,2699,3.9397188823541045,3.431202884556517,-0.5222329678670935,-1.5666989036012806,-0.5222329678670935,-1.5666989036012806,-0.5222329678670935
