model,model_tag,word_rep_mode,metric,layer,mean,ci_low,ci_high,n_tokens,source_csv
gpt2,gpt2,first,lpca99,7,9.0,9.0,9.0,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,first,lpca99,8,19.0,19.0,19.0,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,first,lpca99,9,31.0,31.0,31.0,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,first,lpca99,10,42.0,42.0,42.0,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,first,lpca99,11,52.0,52.0,52.0,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,first,lpca99,12,40.0,40.0,40.0,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,mean,lpca99,0,71.0,71.0,71.0,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,mean,lpca99,1,74.0,74.0,74.0,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,mean,lpca99,2,55.0,55.0,55.0,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,mean,lpca99,3,1.0,1.0,1.0,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,mean,lpca99,4,2.0,2.0,2.0,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,mean,lpca99,5,5.0,5.0,5.0,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,mean,lpca99,6,10.0,10.0,10.0,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,mean,lpca99,7,18.0,18.0,18.0,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,mean,lpca99,8,28.0,28.0,28.0,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,mean,lpca99,9,38.0,38.0,38.0,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,mean,lpca99,10,49.0,49.0,49.0,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,mean,lpca99,11,58.0,58.0,58.0,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,mean,lpca99,12,41.0,41.0,41.0,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,last,lpca99,0,72.0,72.0,72.0,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,last,lpca99,1,74.0,74.0,74.0,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,last,lpca99,2,58.0,58.0,58.0,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,last,lpca99,3,2.0,2.0,2.0,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,last,lpca99,4,5.0,5.0,5.0,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,last,lpca99,5,9.0,9.0,9.0,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,last,lpca99,6,14.0,14.0,14.0,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,last,lpca99,7,23.0,23.0,23.0,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,last,lpca99,8,32.0,32.0,32.0,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,last,lpca99,9,43.0,43.0,43.0,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,last,lpca99,10,53.0,53.0,53.0,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,last,lpca99,11,62.0,62.0,62.0,189167,en_ewt-ud-train_sentences.csv
gpt2,gpt2,last,lpca99,12,43.0,43.0,43.0,189167,en_ewt-ud-train_sentences.csv
