metric,corrint,erank,ess,fishers,iso,lpca,lpca95,lpca99,mada,mle,mom,pr,sf,stable_rank,tle,twonn,vmf_kappa
corrint,0.0,0.019061592840754593,0.4208415376807141,0.06633124139989426,0.49975763869148104,0.12398391418366228,0.00017445239143741326,0.026497117665725364,1.0447429529529421e-07,1.614137226354403e-08,0.038927265377000565,0.03697464421177932,0.017966079892348157,0.49975763869148104,4.101516052437055e-09,0.001079290156864723,0.06993034335673076
erank,0.019061592840754593,0.0,5.3983133829915596e-08,7.313252128188963e-05,0.047103054280209965,3.38323594949535e-06,5.6048062018108545e-06,6.440317822664818e-06,0.25416319508816654,0.01651925246500725,0.000911819470339815,1.2528872300141794e-17,4.765810644471689e-06,0.047103054280209965,0.02044744795526081,0.006614175335379868,0.15736225008219262
ess,0.4208415376807141,5.3983133829915596e-08,0.0,3.387901468320834e-05,0.0019398755189244821,1.1823990229412162e-05,0.004908025398918373,0.0003980306118017756,0.6607713531148642,0.18787807204245663,0.013911171596886906,2.2131356593292888e-08,3.0122595252117507e-07,0.0019398755189244821,0.22958524321981816,0.04994695145286887,0.6161273255695086
fishers,0.06633124139989426,7.313252128188963e-05,3.387901468320834e-05,1.586425303066468e-181,0.4789553993092054,4.9055072592122e-08,4.9414668384423964e-05,5.0695357660938985e-08,0.8877062723093317,0.04780011115448562,0.1604615426811557,0.0002444841581661028,3.6444550035688995e-06,0.4789553993092054,0.046865770929822276,0.05193501093028097,0.21064283145672683
iso,0.49975763869148104,0.047103054280209965,0.0019398755189244821,0.4789553993092054,0.0,0.17636970757596987,0.9047411131865026,0.6392184333802822,0.5752831629598214,0.6396101242558592,0.7011275748533198,0.01651925246500725,0.3265277832159157,0.0,0.3933781555180631,0.14728786599281385,0.8322932787592981
lpca,0.12398391418366228,3.3832359494953685e-06,1.1823990229412162e-05,4.9055072592122e-08,0.17636970757596987,0.0,8.474738820706742e-05,1.913064662246049e-10,0.9909648025104425,0.12448403113982832,0.09492899263563048,2.081963678779592e-05,2.9186755674961938e-05,0.17636970757596987,0.1537187434084539,0.15606260674176786,0.15665250282690274
lpca95,0.00017445239143741359,5.6048062018108545e-06,0.004908025398918384,4.9414668384423964e-05,0.9047411131865026,8.474738820706742e-05,0.0,5.586958876750875e-06,0.029140288948635615,0.00012543119820737205,0.01606679175261421,2.8868503535134184e-05,0.00024237162631740637,0.9047411131865026,0.0001287169148766044,0.0009857767905862443,0.0063720983811148
lpca99,0.026497117665725333,6.440317822664818e-06,0.0003980306118017756,5.0695357660938985e-08,0.6392184333802823,1.913064662246049e-10,5.586958876750875e-06,0.0,0.4481620932811776,0.016748811303735123,0.06813449714203496,4.7821155294053944e-05,2.030590751562962e-05,0.6392184333802823,0.02123554625912948,0.04856010985674772,0.08447170148556525
mada,1.0447429529529421e-07,0.25416319508816654,0.6607713531148642,0.8877062723093317,0.5752831629598214,0.9909648025104425,0.029140288948635615,0.4481620932811776,0.0,1.1466737691746186e-06,0.5021146784013018,0.2654333714204926,0.5430063475050673,0.5752831629598214,2.7454274815005813e-06,0.0012497612490284112,0.08340459298589081
mle,1.614137226354403e-08,0.01651925246500725,0.18787807204245663,0.04780011115448562,0.6396101242558592,0.12448403113982832,0.00012543119820737248,0.016748811303735137,1.1466737691746186e-06,0.0,0.0963261661414154,0.019061592840754593,0.0013923599470476555,0.6396101242558592,3.4895134823707405e-19,0.0010018471829932982,0.05550775224256218
mom,0.038927265377000565,0.000911819470339815,0.013911171596886906,0.1604615426811557,0.7011275748533198,0.09492899263563048,0.01606679175261421,0.06813449714203501,0.5021146784013018,0.0963261661414154,0.0,0.0013676661340391687,0.0024126328200866076,0.7011275748533198,0.06563115158714224,0.1217319139126625,0.2638040049777121
pr,0.03697464421177932,1.2528872300141794e-17,2.2131356593292888e-08,0.0002444841581661028,0.01651925246500725,2.081963678779592e-05,2.8868503535134184e-05,4.7821155294053944e-05,0.2654333714204926,0.019061592840754593,0.0013676661340391687,0.0,1.0804535988650988e-05,0.01651925246500725,0.025669839943148857,0.003028330847108435,0.25100111341892417
sf,0.017966079892348157,4.765810644471689e-06,3.0122595252117507e-07,3.6444550035688995e-06,0.3265277832159157,2.9186755674961938e-05,0.00024237162631740637,2.030590751562962e-05,0.5430063475050673,0.0013923599470476555,0.0024126328200866076,1.0804535988650988e-05,0.0,0.3265277832159157,0.0011618366565919213,0.04898445560620918,0.6006715408190598
stable_rank,0.49975763869148104,0.047103054280209965,0.0019398755189244821,0.4789553993092054,0.0,0.17636970757596987,0.9047411131865026,0.6392184333802822,0.5752831629598214,0.6396101242558592,0.7011275748533198,0.01651925246500725,0.3265277832159157,0.0,0.3933781555180631,0.14728786599281385,0.8322932787592981
tle,4.101516052437055e-09,0.02044744795526081,0.22958524321981816,0.046865770929822276,0.3933781555180631,0.15371874340845404,0.0001287169148766044,0.02123554625912948,2.7454274815005813e-06,3.4895134823707405e-19,0.06563115158714224,0.025669839943148857,0.0011618366565919213,0.3933781555180631,0.0,0.0021113531540244163,0.08780609400675049
twonn,0.001079290156864723,0.006614175335379868,0.04994695145286887,0.05193501093028087,0.14728786599281385,0.15606260674176786,0.0009857767905862443,0.04856010985674772,0.0012497612490284112,0.0010018471829932982,0.1217319139126625,0.003028330847108435,0.04898445560620918,0.14728786599281385,0.0021113531540244163,0.0,0.37497456077893954
vmf_kappa,0.06993034335673076,0.15736225008219262,0.6161273255695086,0.21064283145672696,0.8322932787592981,0.15665250282690268,0.0063720983811148,0.08447170148556525,0.08340459298589081,0.05550775224256218,0.2638040049777121,0.25100111341892417,0.6006715408190598,0.8322932787592981,0.08780609400675049,0.37497456077893954,0.0
