,iso,sf,vmf_kappa,erank,pr,stable_rank,lpca,lpca95,lpca99,twonn,gride,mle,mom,tle,ess,mada,corrint,fishers
iso,1.0,1.287447044758959e-13,5.391570741588288e-24,3.433026681940804e-124,0.0,2.863446019982495e-129,7.352662000245248e-143,2.6708946381430294e-44,1.0248100571724467e-43,0.08073169230276761,0.42752295294786036,0.9900091691624038,2.9768701468913175e-08,0.013602844681085817,0.009989452191742099,7.836833626181595e-05,2.1596774478645173e-51,1.3893005354004526e-105
sf,1.287447044758959e-13,1.0,0.0009672332737001567,1.7668416108374214e-15,1.287447044758959e-13,9.1751444179035e-13,8.588243067928091e-13,1.2402348574921828e-16,7.166874229028148e-16,0.9954754395601921,0.13915649770126837,0.02470900074476046,1.633085576648889e-06,0.022769341177632633,0.02117480101117606,0.00036923190711972507,3.667146558991993e-11,8.899746878609779e-12
vmf_kappa,5.391570741588288e-24,0.0009672332737001567,1.0,1.9628723625680543e-22,5.391570741588326e-24,1.1962157710616186e-18,2.4167176129221857e-19,6.413897519633773e-12,1.1483104279158602e-11,0.8326743242854362,0.07219902752288875,0.22194077194810383,0.005790363389113563,0.3342575385560945,0.6276672953427109,0.3495829324143327,1.3176006747369256e-18,1.819673154619843e-21
erank,3.433026681940804e-124,1.7668416108374214e-15,1.9628723625680543e-22,1.0,3.433026681940804e-124,4.358246340158228e-76,6.023743546188946e-85,2.9226737600764438e-67,2.8380610764965013e-60,0.10567491765390385,0.019682251900421898,0.23052882907725358,3.148518676839656e-13,0.0016340825084519923,0.0009003615338909305,1.1090475901693945e-06,1.4421353897098456e-47,3.870478232169152e-73
pr,0.0,1.287447044758959e-13,5.391570741588326e-24,3.433026681940804e-124,1.0,2.863446019982495e-129,7.352662000245248e-143,2.6708946381430294e-44,1.0248100571724467e-43,0.08073169230276761,0.42752295294786036,0.9900091691624038,2.9768701468913175e-08,0.013602844681085817,0.009989452191742099,7.836833626181595e-05,2.1596774478645173e-51,1.3893005354004526e-105
stable_rank,2.863446019982495e-129,9.1751444179035e-13,1.1962157710616186e-18,4.358246340158228e-76,2.863446019982495e-129,1.0,1.8230849537600384e-190,6.623647722504851e-33,6.089643227009552e-35,0.08448050508332836,0.9435316069715224,0.647046375566134,2.2222013450153106e-05,0.03030670704741332,0.023197476542745652,0.0004131811390453408,1.11690581010383e-46,3.0811428888297455e-123
lpca,7.352662000245248e-143,8.588243067928091e-13,2.4167176129221857e-19,6.023743546188946e-85,7.352662000245248e-143,1.8230849537600384e-190,1.0,1.436585453009426e-35,1.8292040469557479e-37,0.10457029138115681,0.8650044169271254,0.6642503342242698,4.47166184134285e-06,0.03412343716442182,0.014527473893251675,0.00029062720597829183,1.8043364738201394e-47,2.271175090152494e-122
lpca95,2.6708946381430294e-44,1.2402348574921828e-16,6.413897519633773e-12,2.9226737600764438e-67,2.6708946381430294e-44,6.623647722504851e-33,1.436585453009426e-35,1.0,2.2957373790152978e-79,0.33818488309542916,0.00018521785411642022,0.00026981686648390284,5.715845096158782e-18,0.00013137678893625045,3.684144565966283e-05,7.907149565528276e-08,1.4376125619068759e-28,8.570750748283007e-33
lpca99,1.0248100571724467e-43,7.166874229028148e-16,1.1483104279158602e-11,2.8380610764965013e-60,1.0248100571724467e-43,6.089643227009552e-35,1.8292040469557479e-37,2.2957373790152978e-79,1.0,0.47500989106683245,0.0005695590628447747,0.0020959860013760544,1.610457231432457e-14,0.00014410821569253571,1.6704085991438404e-05,1.4297463941023246e-07,7.134078516377398e-28,7.748116300378168e-35
twonn,0.08073169230276761,0.9954754395601921,0.8326743242854362,0.10567491765390385,0.08073169230276761,0.08448050508332836,0.10457029138115681,0.33818488309542916,0.47500989106683245,1.0,0.27145594406422136,0.021148302360319813,0.21336446018857663,0.0003044119325696532,0.1633832888843951,0.1892654670541674,0.15919031301187758,0.09554536620577112
