metric,erank,pr,stable_rank,lpca,lpca95,lpca99
erank,1.0,0.9746963562753036,0.3522267206477733,0.8491015316774925,0.9102812285373855,0.8727818772186726
pr,0.9746963562753036,1.0,0.43157894736842106,0.8004676456512788,0.8517661403643866,0.8021169065129472
stable_rank,0.3522267206477733,0.43157894736842106,1.0,0.30532437498784537,0.11713485450015344,0.10519565987055045
lpca,0.8491015316774925,0.8004676456512788,0.30532437498784537,1.0,0.798699862737958,0.893250902818345
lpca95,0.9102812285373855,0.8517661403643866,0.11713485450015344,0.798699862737958,1.0,0.8771634970657439
lpca99,0.8727818772186726,0.8021169065129472,0.10519565987055045,0.893250902818345,0.8771634970657439,1.0
