subset,model,feature,class,metric,layer,mean,ci_low,ci_high,metric_table_n_tokens,word_rep_mode,source_csv,source_path,source_path_relative,metric_family,n_tokens,n_types,model_label,metric_label,row_label
raw,bert-base-uncased,arity,0,gride,11,21.686397552490234,21.142236709594727,22.498714447021484,30000,first,en_ewt-ud-train_sentences.csv,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_ARITY/arity_bootstrap/arity_raw_gride_bert-base-uncased.csv,bert/tables_ARITY/arity_bootstrap/arity_raw_gride_bert-base-uncased.csv,nonlinear_id,129064,7581,BERT,NLID (GRIDE),BERT NLID (GRIDE)
raw,bert-base-uncased,arity,0,gride,12,19.440401077270508,19.132673263549805,19.81858253479004,30000,first,en_ewt-ud-train_sentences.csv,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_ARITY/arity_bootstrap/arity_raw_gride_bert-base-uncased.csv,bert/tables_ARITY/arity_bootstrap/arity_raw_gride_bert-base-uncased.csv,nonlinear_id,129064,7581,BERT,NLID (GRIDE),BERT NLID (GRIDE)
raw,bert-base-uncased,arity,1,gride,0,17.64104652404785,14.647697448730469,21.6718692779541,20239,first,en_ewt-ud-train_sentences.csv,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_ARITY/arity_bootstrap/arity_raw_gride_bert-base-uncased.csv,bert/tables_ARITY/arity_bootstrap/arity_raw_gride_bert-base-uncased.csv,nonlinear_id,20239,6441,BERT,NLID (GRIDE),BERT NLID (GRIDE)
raw,bert-base-uncased,arity,1,gride,1,16.69314956665039,14.63099193572998,19.52196502685547,20239,first,en_ewt-ud-train_sentences.csv,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_ARITY/arity_bootstrap/arity_raw_gride_bert-base-uncased.csv,bert/tables_ARITY/arity_bootstrap/arity_raw_gride_bert-base-uncased.csv,nonlinear_id,20239,6441,BERT,NLID (GRIDE),BERT NLID (GRIDE)
raw,bert-base-uncased,arity,1,gride,2,18.392593383789062,16.531572341918945,20.439735412597656,20239,first,en_ewt-ud-train_sentences.csv,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_ARITY/arity_bootstrap/arity_raw_gride_bert-base-uncased.csv,bert/tables_ARITY/arity_bootstrap/arity_raw_gride_bert-base-uncased.csv,nonlinear_id,20239,6441,BERT,NLID (GRIDE),BERT NLID (GRIDE)
raw,bert-base-uncased,arity,1,gride,3,19.85779190063477,18.21438789367676,21.87748908996582,20239,first,en_ewt-ud-train_sentences.csv,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_ARITY/arity_bootstrap/arity_raw_gride_bert-base-uncased.csv,bert/tables_ARITY/arity_bootstrap/arity_raw_gride_bert-base-uncased.csv,nonlinear_id,20239,6441,BERT,NLID (GRIDE),BERT NLID (GRIDE)
raw,bert-base-uncased,arity,1,gride,4,18.99165725708008,17.870969772338867,20.470516204833984,20239,first,en_ewt-ud-train_sentences.csv,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_ARITY/arity_bootstrap/arity_raw_gride_bert-base-uncased.csv,bert/tables_ARITY/arity_bootstrap/arity_raw_gride_bert-base-uncased.csv,nonlinear_id,20239,6441,BERT,NLID (GRIDE),BERT NLID (GRIDE)
raw,bert-base-uncased,arity,1,gride,5,19.159936904907227,18.497533798217773,20.20769500732422,20239,first,en_ewt-ud-train_sentences.csv,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_ARITY/arity_bootstrap/arity_raw_gride_bert-base-uncased.csv,bert/tables_ARITY/arity_bootstrap/arity_raw_gride_bert-base-uncased.csv,nonlinear_id,20239,6441,BERT,NLID (GRIDE),BERT NLID (GRIDE)
raw,bert-base-uncased,arity,1,gride,6,19.308439254760746,18.494213104248047,20.188512802124023,20239,first,en_ewt-ud-train_sentences.csv,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_ARITY/arity_bootstrap/arity_raw_gride_bert-base-uncased.csv,bert/tables_ARITY/arity_bootstrap/arity_raw_gride_bert-base-uncased.csv,nonlinear_id,20239,6441,BERT,NLID (GRIDE),BERT NLID (GRIDE)
raw,bert-base-uncased,arity,1,gride,7,19.804162979125977,19.125925064086918,20.697172164916992,20239,first,en_ewt-ud-train_sentences.csv,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_ARITY/arity_bootstrap/arity_raw_gride_bert-base-uncased.csv,bert/tables_ARITY/arity_bootstrap/arity_raw_gride_bert-base-uncased.csv,nonlinear_id,20239,6441,BERT,NLID (GRIDE),BERT NLID (GRIDE)
