model,model_label,word_rep_mode,metric_family,metric,metric_label,layer,target,target_label,spearman_r,spearman_p,pearson_r,pearson_p,n_classes,n_features,features_used
bert-base-uncased,BERT,first,isotropy,iso,IsoScore,0,n_tokens,Frequency,-0.12423240434577229,0.3442875716237057,-0.12521613779094212,0.3404504446982985,60,6,"arity, head_dist, index, length, pos, relation_type"
bert-base-uncased,BERT,first,isotropy,iso,IsoScore,1,n_tokens,Frequency,-0.12601072549945813,0.33737065690915,-0.07158078896922054,0.5867878537560938,60,6,"arity, head_dist, index, length, pos, relation_type"
bert-base-uncased,BERT,first,isotropy,iso,IsoScore,2,n_tokens,Frequency,-0.1290672149823557,0.32568705307882095,-0.053721969030022895,0.6835163233586105,60,6,"arity, head_dist, index, length, pos, relation_type"
bert-base-uncased,BERT,first,isotropy,iso,IsoScore,3,n_tokens,Frequency,-0.11256217177470891,0.391838808205881,-0.026804487423461705,0.8389040666479902,60,6,"arity, head_dist, index, length, pos, relation_type"
bert-base-uncased,BERT,first,isotropy,iso,IsoScore,4,n_tokens,Frequency,-0.08560949178915778,0.5154504638627198,-0.03517697436778125,0.7895997842238017,60,6,"arity, head_dist, index, length, pos, relation_type"
bert-base-uncased,BERT,first,isotropy,iso,IsoScore,5,n_tokens,Frequency,-0.06693711967545637,0.611343795013048,-0.02816374423325596,0.8308522685529011,60,6,"arity, head_dist, index, length, pos, relation_type"
bert-base-uncased,BERT,first,isotropy,iso,IsoScore,6,n_tokens,Frequency,-0.006029620161716078,0.963530920837797,-0.026815433352001292,0.8388391596998236,60,6,"arity, head_dist, index, length, pos, relation_type"
bert-base-uncased,BERT,first,isotropy,iso,IsoScore,7,n_tokens,Frequency,0.0031398482869765755,0.9810044927086823,-0.018456218182329277,0.8886870227266116,60,6,"arity, head_dist, index, length, pos, relation_type"
bert-base-uncased,BERT,first,isotropy,iso,IsoScore,8,n_tokens,Frequency,0.04715329684070131,0.7205202194999223,0.006249349319371999,0.9622028798900931,60,6,"arity, head_dist, index, length, pos, relation_type"
bert-base-uncased,BERT,first,isotropy,iso,IsoScore,9,n_tokens,Frequency,0.005084887048820473,0.969241956540896,-0.026953024014182734,0.8380233685372585,60,6,"arity, head_dist, index, length, pos, relation_type"
bert-base-uncased,BERT,first,isotropy,iso,IsoScore,10,n_tokens,Frequency,0.05510016949623495,0.6758420303711565,-0.06496958356512056,0.6218801728847914,60,6,"arity, head_dist, index, length, pos, relation_type"
bert-base-uncased,BERT,first,isotropy,iso,IsoScore,11,n_tokens,Frequency,0.10939453721970599,0.4053849624215271,-0.1080533110459315,0.4112017373828764,60,6,"arity, head_dist, index, length, pos, relation_type"
