feature,feature_display,contrast,positive_label,negative_label,positive_name,negative_name,model_short,model,metric,metric_label,metric_family,source_path,scope,layer,mid_minus_low,ci_low,ci_high,se,p_value_two_sided,n_layers,n_positive_layers,n_supported_mid_layers,n_supported_low_layers,support,ci_method
verbal_valency,Verbal Valency,mid_low,Mid Valency (2-4 dependents),Low Valency (0-1 dependents),mid_valency,low_valency,bert,bert-base-uncased,iso,isoscore,Isotropy,tables_ARITY_no_index/arity_bootstrap/arity_raw_iso_bert-base-uncased.csv,last_layer,12.0,0.01741910097849278,0.011889650298308043,0.022948551658677516,0.002821148306216702,6.638498103267935e-10,1,1,1,0,supports_mid_valency_greater,normal_approx_from_contrast_ci
verbal_valency,Verbal Valency,mid_low,Mid Valency (2-4 dependents),Low Valency (0-1 dependents),mid_valency,low_valency,bert,bert-base-uncased,iso,isoscore,Isotropy,tables_ARITY_no_index/arity_bootstrap/arity_raw_iso_bert-base-uncased.csv,layer_mean,,0.021212220646304118,0.01974361532784047,0.022680825964767767,0.0007492884277875768,2.6163320486412626e-176,13,13,12,0,supports_mid_valency_greater,normal_approx_from_contrast_ci
