subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv
raw,gpt2,relation_type,det,iso,12,0.0023924114648252726,0.0023659910075366497,0.002416071482002735,14417,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,nsubj,iso,0,0.006127926055341959,0.006031626369804144,0.006206831429153681,12331,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,nsubj,iso,1,0.01015807967633009,0.009994475170969963,0.010271849110722542,12331,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,nsubj,iso,2,0.010704122483730316,0.010621515102684498,0.01081567257642746,12331,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,nsubj,iso,3,0.011719617061316967,0.01162594836205244,0.011849257163703442,12331,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,nsubj,iso,4,0.012782369740307331,0.0126835647970438,0.012948725372552872,12331,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,nsubj,iso,5,0.01336024608463049,0.013246161863207817,0.01353619433939457,12331,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,nsubj,iso,6,0.014052927494049072,0.013899660669267178,0.014227581210434437,12331,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,nsubj,iso,7,0.015009352006018162,0.014807634986937046,0.015202456153929234,12331,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,nsubj,iso,8,0.015020760707557201,0.014814255759119987,0.015231885947287083,12331,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,nsubj,iso,9,0.015500128269195557,0.015290724113583565,0.01571020483970642,12331,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,nsubj,iso,10,0.0157085582613945,0.015458467416465282,0.01589912362396717,12331,last,en_ewt-ud-train_sentences.csv
raw,gpt2,relation_type,nsubj,iso,11,0.00976486224681139,0.009624377824366093,0.009921149350702763,12331,last,en_ewt-ud-train_sentences.csv
