feature,feature_display,feature_order,contrast,positive_label,negative_label,positive_name,negative_name,model_short,model,metric,metric_label,metric_family,source_path,group_key,class_group,layer,mean,ci_low,ci_high,se,n_tokens,class_members,n_class_members,ci_method,aggregation
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,bert,bert-base-uncased,lpca99,LID,Linear ID,bert/tables_INDEX/index_bootstrap/index_raw_lpca99_bert-base-uncased.csv,positive,Late positions (index >= 8),0,629.0914775477398,626.0741807459858,632.1087743494938,1.539437143752048,125991,"10,8,9",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,bert,bert-base-uncased,lpca99,LID,Linear ID,bert/tables_INDEX/index_bootstrap/index_raw_lpca99_bert-base-uncased.csv,positive,Late positions (index >= 8),1,658.9053283362472,657.1793817419635,660.6312749305308,0.8805849970834758,125991,"10,8,9",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,bert,bert-base-uncased,lpca99,LID,Linear ID,bert/tables_INDEX/index_bootstrap/index_raw_lpca99_bert-base-uncased.csv,positive,Late positions (index >= 8),2,670.4046231791739,668.6832596422274,672.1259867161203,0.8782467025236843,125991,"10,8,9",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,bert,bert-base-uncased,lpca99,LID,Linear ID,bert/tables_INDEX/index_bootstrap/index_raw_lpca99_bert-base-uncased.csv,positive,Late positions (index >= 8),3,677.0923913674305,676.0026505732736,678.1821321615874,0.5559902011004454,125991,"10,8,9",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,bert,bert-base-uncased,lpca99,LID,Linear ID,bert/tables_INDEX/index_bootstrap/index_raw_lpca99_bert-base-uncased.csv,positive,Late positions (index >= 8),4,685.2468395269336,684.3850916463771,686.1085874074902,0.4396672859982639,125991,"10,8,9",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,bert,bert-base-uncased,lpca99,LID,Linear ID,bert/tables_INDEX/index_bootstrap/index_raw_lpca99_bert-base-uncased.csv,positive,Late positions (index >= 8),5,692.5742677976734,692.1421766782954,693.0063589170514,0.2204546527439133,125991,"10,8,9",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,bert,bert-base-uncased,lpca99,LID,Linear ID,bert/tables_INDEX/index_bootstrap/index_raw_lpca99_bert-base-uncased.csv,positive,Late positions (index >= 8),6,699.2267942893274,698.7905807913802,699.6630077872745,0.22255790711589518,125991,"10,8,9",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,bert,bert-base-uncased,lpca99,LID,Linear ID,bert/tables_INDEX/index_bootstrap/index_raw_lpca99_bert-base-uncased.csv,positive,Late positions (index >= 8),7,703.1415012997659,702.7051330287549,703.5778695707769,0.2226368729648223,125991,"10,8,9",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,bert,bert-base-uncased,lpca99,LID,Linear ID,bert/tables_INDEX/index_bootstrap/index_raw_lpca99_bert-base-uncased.csv,positive,Late positions (index >= 8),8,702.7016161448211,702.2656924367843,703.1375398528578,0.22241005512078127,125991,"10,8,9",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,bert,bert-base-uncased,lpca99,LID,Linear ID,bert/tables_INDEX/index_bootstrap/index_raw_lpca99_bert-base-uncased.csv,positive,Late positions (index >= 8),9,702.8575578739487,702.4254667545707,703.2896489933268,0.2204546527439133,125991,"10,8,9",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,bert,bert-base-uncased,lpca99,LID,Linear ID,bert/tables_INDEX/index_bootstrap/index_raw_lpca99_bert-base-uncased.csv,positive,Late positions (index >= 8),10,698.9228175305475,698.488899903376,699.356735157719,0.22138654447522865,125991,"10,8,9",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,bert,bert-base-uncased,lpca99,LID,Linear ID,bert/tables_INDEX/index_bootstrap/index_raw_lpca99_bert-base-uncased.csv,positive,Late positions (index >= 8),11,698.5339051680891,698.2993259696626,698.7684843665155,0.11968326450327765,125991,"10,8,9",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
index,Token Index,2,late_early,Late positions (index >= 8),Early positions (index <= 3),late,early,bert,bert-base-uncased,lpca99,LID,Linear ID,bert/tables_INDEX/index_bootstrap/index_raw_lpca99_bert-base-uncased.csv,positive,Late positions (index >= 8),12,692.8438462336418,692.1874258592827,693.5002666080009,0.33490835426484894,125991,"10,8,9",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
