feature,feature_display,contrast,positive_label,negative_label,positive_name,negative_name,model_short,model,metric,metric_label,metric_family,source_kind,source_path,group_key,class_group,layer,mean,ci_low,ci_high,se,n_tokens,class_members,n_class_members,ci_method,aggregation
verbal_valency,Verbal Valency,mid_low,Mid Valency (2-4 dependents),Low Valency (0-1 dependents),mid_valency,low_valency,bert,bert-base-uncased,legacy_pdf_LID,LID,Linear ID,legacy_pdf_digitized,plot_POS/bert_arity_LID_VERB.pdf,low,Low Valency (0-1 dependents),12,522.8570999871247,519.3426956428475,526.3715043314019,1.793063440957752,2833,"0,1",2,normal_approx_from_class_level_ci,token_weighted_mean_of_valency_groups
verbal_valency,Verbal Valency,mid_low,Mid Valency (2-4 dependents),Low Valency (0-1 dependents),mid_valency,low_valency,bert,bert-base-uncased,legacy_pdf_LID,LID,Linear ID,legacy_pdf_digitized,plot_POS/bert_arity_LID_VERB.pdf,mid,Mid Valency (2-4 dependents),0,556.2173537149295,553.2994647233033,559.1352427065556,1.4887188732786276,15265,"2,3,4",3,normal_approx_from_class_level_ci,token_weighted_mean_of_valency_groups
verbal_valency,Verbal Valency,mid_low,Mid Valency (2-4 dependents),Low Valency (0-1 dependents),mid_valency,low_valency,bert,bert-base-uncased,legacy_pdf_LID,LID,Linear ID,legacy_pdf_digitized,plot_POS/bert_arity_LID_VERB.pdf,mid,Mid Valency (2-4 dependents),1,596.251230208176,594.3507395121428,598.1517209042092,0.9696381102210275,15265,"2,3,4",3,normal_approx_from_class_level_ci,token_weighted_mean_of_valency_groups
verbal_valency,Verbal Valency,mid_low,Mid Valency (2-4 dependents),Low Valency (0-1 dependents),mid_valency,low_valency,bert,bert-base-uncased,legacy_pdf_LID,LID,Linear ID,legacy_pdf_digitized,plot_POS/bert_arity_LID_VERB.pdf,mid,Mid Valency (2-4 dependents),2,608.1285289213163,606.7759786347781,609.4810792078545,0.6900766768052116,15265,"2,3,4",3,normal_approx_from_class_level_ci,token_weighted_mean_of_valency_groups
verbal_valency,Verbal Valency,mid_low,Mid Valency (2-4 dependents),Low Valency (0-1 dependents),mid_valency,low_valency,bert,bert-base-uncased,legacy_pdf_LID,LID,Linear ID,legacy_pdf_digitized,plot_POS/bert_arity_LID_VERB.pdf,mid,Mid Valency (2-4 dependents),3,616.30405238766,615.3111892773205,617.2969154979995,0.5065628113977299,15265,"2,3,4",3,normal_approx_from_class_level_ci,token_weighted_mean_of_valency_groups
verbal_valency,Verbal Valency,mid_low,Mid Valency (2-4 dependents),Low Valency (0-1 dependents),mid_valency,low_valency,bert,bert-base-uncased,legacy_pdf_LID,LID,Linear ID,legacy_pdf_digitized,plot_POS/bert_arity_LID_VERB.pdf,mid,Mid Valency (2-4 dependents),4,625.9044431666792,624.95496121214,626.8539251212185,0.48442956864247333,15265,"2,3,4",3,normal_approx_from_class_level_ci,token_weighted_mean_of_valency_groups
verbal_valency,Verbal Valency,mid_low,Mid Valency (2-4 dependents),Low Valency (0-1 dependents),mid_valency,low_valency,bert,bert-base-uncased,legacy_pdf_LID,LID,Linear ID,legacy_pdf_digitized,plot_POS/bert_arity_LID_VERB.pdf,mid,Mid Valency (2-4 dependents),5,632.1560385375709,631.3553755062603,632.9567015688815,0.4085015465870551,15265,"2,3,4",3,normal_approx_from_class_level_ci,token_weighted_mean_of_valency_groups
verbal_valency,Verbal Valency,mid_low,Mid Valency (2-4 dependents),Low Valency (0-1 dependents),mid_valency,low_valency,bert,bert-base-uncased,legacy_pdf_LID,LID,Linear ID,legacy_pdf_digitized,plot_POS/bert_arity_LID_VERB.pdf,mid,Mid Valency (2-4 dependents),6,641.355146470086,640.7191683854496,641.9911245547223,0.32447861461040745,15265,"2,3,4",3,normal_approx_from_class_level_ci,token_weighted_mean_of_valency_groups
verbal_valency,Verbal Valency,mid_low,Mid Valency (2-4 dependents),Low Valency (0-1 dependents),mid_valency,low_valency,bert,bert-base-uncased,legacy_pdf_LID,LID,Linear ID,legacy_pdf_digitized,plot_POS/bert_arity_LID_VERB.pdf,mid,Mid Valency (2-4 dependents),7,646.9678396645932,646.3252329303523,647.610446398834,0.3278605786943169,15265,"2,3,4",3,normal_approx_from_class_level_ci,token_weighted_mean_of_valency_groups
verbal_valency,Verbal Valency,mid_low,Mid Valency (2-4 dependents),Low Valency (0-1 dependents),mid_valency,low_valency,bert,bert-base-uncased,legacy_pdf_LID,LID,Linear ID,legacy_pdf_digitized,plot_POS/bert_arity_LID_VERB.pdf,mid,Mid Valency (2-4 dependents),8,648.2084053703518,647.5160117499604,648.9007989907432,0.35326205122006665,15265,"2,3,4",3,normal_approx_from_class_level_ci,token_weighted_mean_of_valency_groups
verbal_valency,Verbal Valency,mid_low,Mid Valency (2-4 dependents),Low Valency (0-1 dependents),mid_valency,low_valency,bert,bert-base-uncased,legacy_pdf_LID,LID,Linear ID,legacy_pdf_digitized,plot_POS/bert_arity_LID_VERB.pdf,mid,Mid Valency (2-4 dependents),9,653.8481614422783,653.2795919547706,654.416730929786,0.29008647321821307,15265,"2,3,4",3,normal_approx_from_class_level_ci,token_weighted_mean_of_valency_groups
verbal_valency,Verbal Valency,mid_low,Mid Valency (2-4 dependents),Low Valency (0-1 dependents),mid_valency,low_valency,bert,bert-base-uncased,legacy_pdf_LID,LID,Linear ID,legacy_pdf_digitized,plot_POS/bert_arity_LID_VERB.pdf,mid,Mid Valency (2-4 dependents),10,655.7197420629984,655.2461987392143,656.1932853867826,0.24160373662456314,15265,"2,3,4",3,normal_approx_from_class_level_ci,token_weighted_mean_of_valency_groups
verbal_valency,Verbal Valency,mid_low,Mid Valency (2-4 dependents),Low Valency (0-1 dependents),mid_valency,low_valency,bert,bert-base-uncased,legacy_pdf_LID,LID,Linear ID,legacy_pdf_digitized,plot_POS/bert_arity_LID_VERB.pdf,mid,Mid Valency (2-4 dependents),11,658.9163713932835,658.442827746564,659.389915040003,0.24160390138747329,15265,"2,3,4",3,normal_approx_from_class_level_ci,token_weighted_mean_of_valency_groups
verbal_valency,Verbal Valency,mid_low,Mid Valency (2-4 dependents),Low Valency (0-1 dependents),mid_valency,low_valency,bert,bert-base-uncased,legacy_pdf_LID,LID,Linear ID,legacy_pdf_digitized,plot_POS/bert_arity_LID_VERB.pdf,mid,Mid Valency (2-4 dependents),12,657.7607448228604,657.3805468957896,658.1409427499311,0.19397853421977312,15265,"2,3,4",3,normal_approx_from_class_level_ci,token_weighted_mean_of_valency_groups
