feature,feature_display,contrast,positive_label,negative_label,positive_name,negative_name,model_short,model,metric,metric_label,metric_family,source_kind,source_path,group_key,class_group,layer,mean,ci_low,ci_high,se,n_tokens,class_members,n_class_members,ci_method,aggregation
verbal_valency,Verbal Valency,mid_low,Mid Valency (2-4 dependents),Low Valency (0-1 dependents),mid_valency,low_valency,bert,bert-base-uncased,legacy_pdf_NLID,NLID,Nonlinear ID,legacy_pdf_digitized,plot_POS/bert_arity_NLID_VERB.pdf,low,Low Valency (0-1 dependents),11,19.422462460609466,18.08380145199743,20.761123469221502,0.6829903105163448,2833,"0,1",2,normal_approx_from_class_level_ci,token_weighted_mean_of_valency_groups
verbal_valency,Verbal Valency,mid_low,Mid Valency (2-4 dependents),Low Valency (0-1 dependents),mid_valency,low_valency,bert,bert-base-uncased,legacy_pdf_NLID,NLID,Nonlinear ID,legacy_pdf_digitized,plot_POS/bert_arity_NLID_VERB.pdf,low,Low Valency (0-1 dependents),12,21.623286104583165,20.184866278084737,23.061705931081594,0.7338876665808316,2833,"0,1",2,normal_approx_from_class_level_ci,token_weighted_mean_of_valency_groups
verbal_valency,Verbal Valency,mid_low,Mid Valency (2-4 dependents),Low Valency (0-1 dependents),mid_valency,low_valency,bert,bert-base-uncased,legacy_pdf_NLID,NLID,Nonlinear ID,legacy_pdf_digitized,plot_POS/bert_arity_NLID_VERB.pdf,mid,Mid Valency (2-4 dependents),0,4.994663689301808,4.646029684971851,5.343297693631764,0.17787449200507996,15265,"2,3,4",3,normal_approx_from_class_level_ci,token_weighted_mean_of_valency_groups
verbal_valency,Verbal Valency,mid_low,Mid Valency (2-4 dependents),Low Valency (0-1 dependents),mid_valency,low_valency,bert,bert-base-uncased,legacy_pdf_NLID,NLID,Nonlinear ID,legacy_pdf_digitized,plot_POS/bert_arity_NLID_VERB.pdf,mid,Mid Valency (2-4 dependents),1,5.969846423593934,5.615147395757536,6.324545451430331,0.18096889175326375,15265,"2,3,4",3,normal_approx_from_class_level_ci,token_weighted_mean_of_valency_groups
verbal_valency,Verbal Valency,mid_low,Mid Valency (2-4 dependents),Low Valency (0-1 dependents),mid_valency,low_valency,bert,bert-base-uncased,legacy_pdf_NLID,NLID,Nonlinear ID,legacy_pdf_digitized,plot_POS/bert_arity_NLID_VERB.pdf,mid,Mid Valency (2-4 dependents),2,6.804752720700533,6.5046394622174315,7.104865979183634,0.15311900943015358,15265,"2,3,4",3,normal_approx_from_class_level_ci,token_weighted_mean_of_valency_groups
verbal_valency,Verbal Valency,mid_low,Mid Valency (2-4 dependents),Low Valency (0-1 dependents),mid_valency,low_valency,bert,bert-base-uncased,legacy_pdf_NLID,NLID,Nonlinear ID,legacy_pdf_digitized,plot_POS/bert_arity_NLID_VERB.pdf,mid,Mid Valency (2-4 dependents),3,7.983297543802497,7.714883551970814,8.251711535634179,0.1369459141998378,15265,"2,3,4",3,normal_approx_from_class_level_ci,token_weighted_mean_of_valency_groups
verbal_valency,Verbal Valency,mid_low,Mid Valency (2-4 dependents),Low Valency (0-1 dependents),mid_valency,low_valency,bert,bert-base-uncased,legacy_pdf_NLID,NLID,Nonlinear ID,legacy_pdf_digitized,plot_POS/bert_arity_NLID_VERB.pdf,mid,Mid Valency (2-4 dependents),4,9.128897090159741,8.885128009330739,9.372666170988744,0.12437198001479763,15265,"2,3,4",3,normal_approx_from_class_level_ci,token_weighted_mean_of_valency_groups
verbal_valency,Verbal Valency,mid_low,Mid Valency (2-4 dependents),Low Valency (0-1 dependents),mid_valency,low_valency,bert,bert-base-uncased,legacy_pdf_NLID,NLID,Nonlinear ID,legacy_pdf_digitized,plot_POS/bert_arity_NLID_VERB.pdf,mid,Mid Valency (2-4 dependents),5,10.322043547876422,10.084298996566842,10.559788099186003,0.12129824046407135,15265,"2,3,4",3,normal_approx_from_class_level_ci,token_weighted_mean_of_valency_groups
verbal_valency,Verbal Valency,mid_low,Mid Valency (2-4 dependents),Low Valency (0-1 dependents),mid_valency,low_valency,bert,bert-base-uncased,legacy_pdf_NLID,NLID,Nonlinear ID,legacy_pdf_digitized,plot_POS/bert_arity_NLID_VERB.pdf,mid,Mid Valency (2-4 dependents),6,12.323511304997679,12.101511645286909,12.545510964708448,0.11326513250549461,15265,"2,3,4",3,normal_approx_from_class_level_ci,token_weighted_mean_of_valency_groups
verbal_valency,Verbal Valency,mid_low,Mid Valency (2-4 dependents),Low Valency (0-1 dependents),mid_valency,low_valency,bert,bert-base-uncased,legacy_pdf_NLID,NLID,Nonlinear ID,legacy_pdf_digitized,plot_POS/bert_arity_NLID_VERB.pdf,mid,Mid Valency (2-4 dependents),7,14.333446233442928,14.060500797571025,14.60639166931483,0.1392578754448481,15265,"2,3,4",3,normal_approx_from_class_level_ci,token_weighted_mean_of_valency_groups
verbal_valency,Verbal Valency,mid_low,Mid Valency (2-4 dependents),Low Valency (0-1 dependents),mid_valency,low_valency,bert,bert-base-uncased,legacy_pdf_NLID,NLID,Nonlinear ID,legacy_pdf_digitized,plot_POS/bert_arity_NLID_VERB.pdf,mid,Mid Valency (2-4 dependents),8,16.55754429120723,16.307180507805224,16.807908074609234,0.12773662418469706,15265,"2,3,4",3,normal_approx_from_class_level_ci,token_weighted_mean_of_valency_groups
verbal_valency,Verbal Valency,mid_low,Mid Valency (2-4 dependents),Low Valency (0-1 dependents),mid_valency,low_valency,bert,bert-base-uncased,legacy_pdf_NLID,NLID,Nonlinear ID,legacy_pdf_digitized,plot_POS/bert_arity_NLID_VERB.pdf,mid,Mid Valency (2-4 dependents),9,19.53036773211124,19.22528949600315,19.835445968219332,0.15565216127963916,15265,"2,3,4",3,normal_approx_from_class_level_ci,token_weighted_mean_of_valency_groups
verbal_valency,Verbal Valency,mid_low,Mid Valency (2-4 dependents),Low Valency (0-1 dependents),mid_valency,low_valency,bert,bert-base-uncased,legacy_pdf_NLID,NLID,Nonlinear ID,legacy_pdf_digitized,plot_POS/bert_arity_NLID_VERB.pdf,mid,Mid Valency (2-4 dependents),10,20.87925626717105,20.593125665992307,21.165386868349795,0.14598500060140038,15265,"2,3,4",3,normal_approx_from_class_level_ci,token_weighted_mean_of_valency_groups
verbal_valency,Verbal Valency,mid_low,Mid Valency (2-4 dependents),Low Valency (0-1 dependents),mid_valency,low_valency,bert,bert-base-uncased,legacy_pdf_NLID,NLID,Nonlinear ID,legacy_pdf_digitized,plot_POS/bert_arity_NLID_VERB.pdf,mid,Mid Valency (2-4 dependents),11,21.415758609643323,21.12744506017903,21.704072159107614,0.14709874972667922,15265,"2,3,4",3,normal_approx_from_class_level_ci,token_weighted_mean_of_valency_groups
verbal_valency,Verbal Valency,mid_low,Mid Valency (2-4 dependents),Low Valency (0-1 dependents),mid_valency,low_valency,bert,bert-base-uncased,legacy_pdf_NLID,NLID,Nonlinear ID,legacy_pdf_digitized,plot_POS/bert_arity_NLID_VERB.pdf,mid,Mid Valency (2-4 dependents),12,22.55295365781091,22.23723910103227,22.86866821458955,0.1610788554993073,15265,"2,3,4",3,normal_approx_from_class_level_ci,token_weighted_mean_of_valency_groups
