model,feature,feature_label,metric_label,metric_source,class,early_layer,late_layer,layer0_mean,layer12_mean,delta_layer12_minus_layer0,abs_delta,pct_change_from_layer0,layer0_ci_low,layer0_ci_high,layer12_ci_low,layer12_ci_high,n_tokens,source_csv
BERT,arity,Arity,IsoScore,iso,0,0,12,0.0184121616184711,0.0128892306238412,-0.0055229309946299,0.0055229309946299,-29.99610316851276,0.0181911867111921,0.0185927059501409,0.0126115754246711,0.0132957678288221,30000,bert/tables_ARITY/arity_bootstrap/arity_raw_iso_bert-base-uncased.csv
BERT,arity,Arity,IsoScore,iso,1,0,12,0.0540485754609108,0.0326408185064792,-0.021407756954431596,0.021407756954431596,-39.608364830844046,0.0529451444745063,0.0550807379186153,0.0317584425210952,0.0333397351205349,20239,bert/tables_ARITY/arity_bootstrap/arity_raw_iso_bert-base-uncased.csv
BERT,arity,Arity,IsoScore,iso,2,0,12,0.0634010508656501,0.0380358286201953,-0.025365222245454795,0.025365222245454795,-40.007573847955506,0.0617878101766109,0.0651463866233825,0.0371457785367965,0.0388606414198875,18037,bert/tables_ARITY/arity_bootstrap/arity_raw_iso_bert-base-uncased.csv
BERT,arity,Arity,IsoScore,iso,3,0,12,0.0472264289855957,0.0357803851366043,-0.011446043848991401,0.011446043848991401,-24.23652199594109,0.0454773791134357,0.0490050762891769,0.0349651500582695,0.0366191789507865,13546,bert/tables_ARITY/arity_bootstrap/arity_raw_iso_bert-base-uncased.csv
BERT,arity,Arity,IsoScore,iso,4,0,12,0.0450107008218765,0.0403220355510711,-0.0046886652708054005,0.0046886652708054005,-10.416779088510824,0.0432249195873737,0.0473609417676925,0.0396358668804168,0.0412342883646488,14030,bert/tables_ARITY/arity_bootstrap/arity_raw_iso_bert-base-uncased.csv
BERT,arity,Arity,LID,pca99,0,0,12,584.1799926757812,702.9400024414062,118.760009765625,118.760009765625,20.3293524692032,581.2249755859375,586.0,702.0,703.0,30000,bert/tables_ARITY/arity_bootstrap/arity_raw_pca99_bert-base-uncased.csv
BERT,arity,Arity,LID,pca99,1,0,12,679.5800170898438,705.4400024414062,25.8599853515625,25.8599853515625,3.8052892523683024,679.0,680.0,705.0,706.0,20239,bert/tables_ARITY/arity_bootstrap/arity_raw_pca99_bert-base-uncased.csv
BERT,arity,Arity,LID,pca99,2,0,12,678.6599731445312,703.9600219726562,25.300048828125,25.300048828125,3.7279418013852657,678.0,679.0,703.2249755859375,704.0,18037,bert/tables_ARITY/arity_bootstrap/arity_raw_pca99_bert-base-uncased.csv
BERT,arity,Arity,LID,pca99,3,0,12,670.760009765625,699.0,28.239990234375,28.239990234375,4.210148163758679,670.0,672.0,699.0,699.0,13546,bert/tables_ARITY/arity_bootstrap/arity_raw_pca99_bert-base-uncased.csv
BERT,arity,Arity,LID,pca99,4,0,12,667.4600219726562,697.1799926757812,29.719970703125,29.719970703125,4.452696749580387,666.0,668.0,697.0,698.0,14030,bert/tables_ARITY/arity_bootstrap/arity_raw_pca99_bert-base-uncased.csv
BERT,arity,Arity,NLID,gride,0,0,12,4.80966854095459,19.440401077270508,14.630732536315918,14.630732536315918,304.19419574830226,4.351386547088623,5.279487609863281,19.132673263549805,19.81858253479004,30000,bert/tables_ARITY/arity_bootstrap/arity_raw_gride_bert-base-uncased.csv
BERT,arity,Arity,NLID,gride,1,0,12,17.64104652404785,27.700275421142575,10.059228897094723,10.059228897094723,57.021724212235505,14.647697448730469,21.6718692779541,26.82968521118164,28.409421920776367,20239,bert/tables_ARITY/arity_bootstrap/arity_raw_gride_bert-base-uncased.csv
BERT,arity,Arity,NLID,gride,2,0,12,15.999237060546877,28.740886688232425,12.741649627685549,12.741649627685549,79.63910766161258,13.901137351989746,20.009735107421875,28.175434112548828,29.27538299560547,18037,bert/tables_ARITY/arity_bootstrap/arity_raw_gride_bert-base-uncased.csv
BERT,arity,Arity,NLID,gride,3,0,12,13.101963996887209,28.83230209350586,15.73033809661865,15.73033809661865,120.06091682404177,10.660412788391112,14.927846908569336,28.45959854125977,29.469858169555664,13546,bert/tables_ARITY/arity_bootstrap/arity_raw_gride_bert-base-uncased.csv
BERT,arity,Arity,NLID,gride,4,0,12,11.330371856689451,28.36086082458496,17.030488967895508,17.030488967895508,150.3082968794242,10.10586929321289,12.8247652053833,27.849193572998047,28.93566131591797,14030,bert/tables_ARITY/arity_bootstrap/arity_raw_gride_bert-base-uncased.csv
BERT,head_dist,Head distance,IsoScore,iso,-6,0,12,0.0079537322744727,0.0044500795193016,-0.0035036527551710996,0.0035036527551710996,-44.05042355292726,0.0078451782464981,0.0080472016707062,0.0044017559848725,0.0045177126303315,19585,bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_iso_bert-base-uncased.csv
BERT,head_dist,Head distance,IsoScore,iso,-5,0,12,0.0216180495917797,0.0117207765579223,-0.009897273033857398,0.009897273033857398,-45.78245133465163,0.0204504672437906,0.0230767913162708,0.0108813839033246,0.0126536386087536,4545,bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_iso_bert-base-uncased.csv
BERT,head_dist,Head distance,IsoScore,iso,-4,0,12,0.0304945297539234,0.0166005548089742,-0.013893974944949199,0.013893974944949199,-45.56218789752484,0.0287991520017385,0.0321083627641201,0.0154218021780252,0.0179027374833822,6684,bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_iso_bert-base-uncased.csv
BERT,head_dist,Head distance,IsoScore,iso,-3,0,12,0.0424180328845977,0.0249901078641414,-0.017427925020456304,0.017427925020456304,-41.08612265889518,0.0407738722860813,0.0442606657743454,0.02320790104568,0.0270352195948362,10487,bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_iso_bert-base-uncased.csv
BERT,head_dist,Head distance,IsoScore,iso,-2,0,12,0.0502539351582527,0.0387647040188312,-0.011489231139421505,0.011489231139421505,-22.862351183526656,0.0493220500648021,0.0512859337031841,0.0380114428699016,0.0399167947471141,15690,bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_iso_bert-base-uncased.csv
BERT,head_dist,Head distance,IsoScore,iso,-1,0,12,0.0168541744351387,0.011731319129467,-0.005122855305671699,0.005122855305671699,-30.39517198179242,0.016384981572628,0.0172775648534297,0.0113042099401354,0.012131305411458,13038,bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_iso_bert-base-uncased.csv
BERT,head_dist,Head distance,IsoScore,iso,1,0,12,0.0183533634990453,0.030463745817542,0.0121103823184967,0.0121103823184967,65.98453912345089,0.0182403232902288,0.0184624884277582,0.0298214592039585,0.0310443695634603,57036,bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_iso_bert-base-uncased.csv
