model,comparison,canonical,metric,metric_label,n_layers,median_rel_diff_pct,mean_rel_diff_pct,max_rel_diff_pct,median_abs_diff,mean_abs_diff,spearman_r,pearson_r,layer12_mean_value,layer12_first_value,layer12_rel_diff_pct,source_csv,layer12_last_value
gpt2,mean vs first,False,gride,NLID,13,1.6345264293234636,2.412658433176357,6.991382635976262,0.1071796417236337,0.2111250437222991,0.989010989010989,0.9932419584786929,2.126315116882324,2.1614556312561035,1.6257800468177004,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/all_tokens/tables/alltokens_gride.csv,
gpt2,mean vs last,True,gride,NLID,13,1.728151501347732,2.0832530639845332,4.850844789664497,0.10739994049072266,0.17792323919442957,0.9945054945054945,0.9964096410331823,2.126315116882324,,1.728151501347732,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/all_tokens/tables/alltokens_gride.csv,2.1637072563171387
bert-base-uncased,mean vs first,True,iso,IsoScore,13,2.5618773974299356,2.425019642161393,3.9393561548551426,0.0005683116614818989,0.0005946058350113765,0.9945054945054945,0.999527832997319,0.01215794775635,0.0125814899802207,3.3663916160689036,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/all_tokens/tables/alltokens_iso.csv,
bert-base-uncased,mean vs last,False,iso,IsoScore,13,1.6721470958117306,2.361531420514799,4.341565628175354,0.00046332925558089863,0.0005824129598645229,0.9945054945054945,0.9990403681657701,0.01215794775635,,3.979039776937702,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/all_tokens/tables/alltokens_iso.csv,0.0126617643982172
gpt2,mean vs first,False,iso,IsoScore,13,0.6996926528200119,3.2810522897763055,20.71149075781014,9.341631084599893e-06,0.00012257673705999225,1.0,0.9982619019103406,0.0017481039976701,0.0017251825192943,1.3286407739151038,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/all_tokens/tables/alltokens_iso.csv,
gpt2,mean vs last,True,iso,IsoScore,13,0.45761006547985994,2.2216537655203505,11.638642318888605,6.180605851200099e-06,0.00011203344015834615,1.0,0.9998650407013887,0.0017481039976701,,1.0387892963886691,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/all_tokens/tables/alltokens_iso.csv,0.0017664537299424
bert-base-uncased,mean vs first,True,knn,kNN,13,99.34895833333334,1282.2182026869525,15260.0,12.0,340.0,-0.35143430917841756,-0.22730650659483548,768.0,5.0,15260.0,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/all_tokens/tables/alltokens_knn.csv,
bert-base-uncased,mean vs last,False,knn,kNN,13,56.25,1523.6186906171786,19100.0,7.0,181.84615384615384,0.3206906480863893,-0.1337563930343953,768.0,,19100.0,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/all_tokens/tables/alltokens_knn.csv,4.0
gpt2,mean vs first,False,knn,kNN,13,99.86979166666666,3139.829814659977,25500.0,753.0,414.0,-0.024602670132219343,-0.18584440106800784,1.0,1.0,0.0,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/all_tokens/tables/alltokens_knn.csv,
gpt2,mean vs last,True,knn,kNN,13,99.86979166666666,13776.408253205125,76700.0,764.0,533.1538461538462,-0.514771228524178,-0.540019359306008,1.0,,99.86979166666666,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/all_tokens/tables/alltokens_knn.csv,768.0
bert-base-uncased,mean vs first,True,lpca,LPCA,13,1.0526315789473684,1.0677986523067253,3.076923076923077,1.0,0.8461538461538461,0.9972413740548083,0.9971424929205215,63.0,65.0,3.076923076923077,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/all_tokens/tables/alltokens_lpca.csv,
bert-base-uncased,mean vs last,False,lpca,LPCA,13,1.2048192771084338,1.3584632575809885,4.545454545454546,1.0,1.0769230769230769,0.9972413740548083,0.9980165707322418,63.0,,4.545454545454546,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/all_tokens/tables/alltokens_lpca.csv,66.0
gpt2,mean vs first,False,lpca,LPCA,13,0.0,8.205128205128206,80.0,0.0,0.6153846153846154,1.0,0.9881103348258512,3.0,3.0,0.0,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/all_tokens/tables/alltokens_lpca.csv,
gpt2,mean vs last,True,lpca,LPCA,13,0.0,3.994082840236686,26.923076923076923,0.0,0.7692307692307693,1.0,0.9995650654116093,3.0,,0.0,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/all_tokens/tables/alltokens_lpca.csv,3.0
bert-base-uncased,mean vs first,True,lpca99,LID,13,0.0,0.27628090206312983,1.3513513513513513,0.0,0.23076923076923078,0.9916473011895653,0.9978840852659089,91.0,91.0,0.0,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/all_tokens/tables/alltokens_lpca99.csv,
bert-base-uncased,mean vs last,False,lpca99,LID,13,0.0,0.17233079811302593,1.1764705882352942,0.0,0.15384615384615385,0.9916473011895653,0.9974869662515934,91.0,,0.0,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/all_tokens/tables/alltokens_lpca99.csv,91.0
gpt2,mean vs first,False,lpca99,LID,13,16.666666666666664,72.50265663841478,400.0,4.0,4.3076923076923075,0.9931081191208418,0.9921216069291054,41.0,40.0,2.5,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/all_tokens/tables/alltokens_lpca99.csv,
gpt2,mean vs last,True,lpca99,LID,13,11.627906976744185,19.545704508818183,60.0,4.0,3.076923076923077,0.9986254289035241,0.998263944045358,41.0,,4.651162790697675,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/all_tokens/tables/alltokens_lpca99.csv,43.0
bert-base-uncased,mean vs first,True,mada,MADA,13,10.874820607346388,13.721663121166113,28.004800721696395,3.0652236938476527,3.523944561298077,0.8736263736263737,0.893340280829891,24.64065933227539,27.33316421508789,9.85068856874697,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/all_tokens/tables/alltokens_mada.csv,
bert-base-uncased,mean vs last,False,mada,MADA,13,12.349318536043532,13.730961359606543,28.298975019371696,3.822153091430664,3.5817012786865234,0.8901098901098902,0.8994140525421287,24.64065933227539,,9.992629440615719,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/all_tokens/tables/alltokens_mada.csv,27.37626838684082
gpt2,mean vs first,False,mada,MADA,13,7.596895581256338,7.918328131765685,13.598049302481819,2.567270278930664,3.5570613787724406,0.9945054945054945,0.9969809151955626,4.190103530883789,4.2917561531066895,2.36855540241532,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/all_tokens/tables/alltokens_mada.csv,
gpt2,mean vs last,True,mada,MADA,13,4.540279126196453,6.320460386240729,14.564619517858745,1.4171829223632884,2.451546118809628,1.0,0.995354003464214,4.190103530883789,,4.540279126196453,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/all_tokens/tables/alltokens_mada.csv,4.389394283294678
